2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=40 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=40 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.005000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=41 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.042800
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=41 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=41 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.006300
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=42 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.041400
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=42 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=43 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.011900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=42 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.052600
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=44 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001800
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=43 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.006900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=43 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.030100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=44 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=44 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.009600
